What was the first feature-length animated movie ever released?,Snow White and the Seven Dwarfs,Fantasia,Steamboat Willie,Dumbo
What movie musical was set at Rydell High School?,Grease,West Side Stroy,Singin' in the Rain,Meet Me in St. Louis
In what 1976 movie does Robert De Niro say the famous line "You talkin' to me?,Taxi Driver,Meet the Fockers,The Godfather,Goodfellas
For what movie did Streven Speilberg win his first oscar for best director?,Schindler's List,The Post,E.T.,Lincoln
What song did Tom Cruise lip-sync to in his underwear in Risky Business?,Old Time Rock and Roll,Sweet Home Alabama,Livin' on a Prayer,All Shook Up
What was Quentin Tarantino's first Film as a writer and director?,Reservoir Dogs,Pulp Fiction,Jackie Brown,From Dusk Til Dawn
What is the highest grossing movie of all time?,Avatar,Avengers: Endgame,Titanic,Gone with the wind
Sebastain and Flounder are both characters in what animated film?The Little Mermaid,Finding Nemo,Frozen,The Lion King
What is the only X-rated film to win best picture at the oscars?,Midnight Cowboy,Boogie Nights,Show Girls,Requiem for a Dream
What movie starred Julia Roberts as a prostitute named Vivian Ward?,Pretty Woman,Something to Talk About,Notting Hill,Sleeping With the Enemy
