How many grandchildren does Kris Jenner have?,10,9,8,7
What former Nickelodean star is also the longest-running member of the SNL cast?,Kenan Thompson,Miranda Cosgrove,Drake Bell,Amanda Bynes
Who is the Godmother of Miley Cyrus?,Dolly Parton,Whitney Houston,Noah Cyrus,Carrie Underwood
Which superstar infamously had a wardrobe malfunction during the Super Bowl XXXVIII Halftime Show?,Janet Jackson,Justin Timberlake,Britney Spears,Katy Perry
Which Jersey Shore star served 8 months in prison for tax evasion?,Mike Sorrentino,Nicole Polizzi,Angelina Pivarnick,Vinny Guadagnino
Baywatch bombshell Pamela Anderson was once married to what 80s heavy metal rocker?,Tommy Lee,Phil Collins,Axl Rose,Chad Smith
How many total members have been in the group Destiny’s Child?,6,5,4,3
What is the name of the 2020 Netflix documentary that featured Joe Exotic and Carole Baskin?,Tiger King,Ozark,You,House of Cards
What is the longest-running game show on network television?,The Price is Right,Wheel of Fortune,Family Feud,Jeopardy
What rapper-turned-actor stars on Law and Order: Special Victims Unit?,Ice T,50 Cent,DMX,Kanye West
